family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationRemarks,identifiedBy,previousIdentifications,typeStatus,catalogNumber,occurrenceID,associatedMedia,occurrenceRemarks,recordedBy,basisOfRecord,institutionCode,collectionCode,country,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,fieldNumber,RDF_path,IMAGE_path,mediaLink
Rubiaceae,Tarenna,vignei,subglabra,Tarenna vignei Hutch. & Dalziel var. subglabra Keay,Keay,varietas,det. probable du récolteur,,"
Tarenna vignei Hutch. & Dalziel",,P00101014,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00101014,http://imager.mnhn.fr/imager3/w400/media/1441374644242sz408uy4iHTYcgZJ,FHI 6256,"Enti, A.A.|6256), (FHI",PreservedSpecimen,MNHN,P,Gold Coast,gh,,,,"W.Province, Tarkwa distr., Benso-Subisi F.R.",,,1956-6-20,148,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00101014.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00101014.jpg,http://mediaphoto.mnhn.fr/media/1441374644242sz408uy4iHTYcgZJ
Asteraceae,Cotula,coronopifolia,,Cotula coronopifolia L.,L.,,,,"
Cotula coronopifolia L.",,P00095662,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00095662,http://imager.mnhn.fr/imager3/w400/media/1441343824602T6KBWcAMuktIaahv,,"Maire, C.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,Cap de Bonne Espérance,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00095662.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00095662.jpg,http://mediaphoto.mnhn.fr/media/1441343824602T6KBWcAMuktIaahv
Fabaceae,Ophrestia,lyallii,lyallii,Ophrestia lyallii (Benth.) Verdc. subsp. lyallii,(Benth.) Verdc.,subspecies,,Du Puy & Labat,"
Ophrestia lyallii (Benth.) Verdc.",,P0005015,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0005015,http://imager.mnhn.fr/imager3/w400/media/1441333942935mUIqNBHjW1xe0Dni,Reçu en 1946,"Homolle, A.M.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P0005015.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P0005015.jpg,http://mediaphoto.mnhn.fr/media/1441333942935mUIqNBHjW1xe0Dni
Asteraceae,Eriocephalus,paniculatus,,Eriocephalus paniculatus Cass.,Cass.,,,,"
Eriocephalus umbellulatus DC. var. glabriusculus DC.",,P00092161,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00092161,http://imager.mnhn.fr/imager3/w400/media/1442408944872FCJyVQAhMK7ivlb2,,"Drège, J.F.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,Paarl,,,1827,87,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00092161.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00092161.jpg,http://mediaphoto.mnhn.fr/media/1442408944872FCJyVQAhMK7ivlb2
Fabaceae,Cajanus,cajan,,Cajanus cajan (L.) Millsp.,(L.) Millsp.,,,Labat,"
Cajanus cajan (L.) Millsp.",,P0013885,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0013885,http://imager.mnhn.fr/imager3/w400/media/1441335408721RxxvnqVb8tGPC4ZU,,"Humbert, H.|Swingle, C.F.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,Plateaux de l'Isalo à l'Ouest de Ranohira,-22.63333,45.33333,1928-7-30,4964,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P0013885.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P0013885.jpg,http://mediaphoto.mnhn.fr/media/1441335408721RxxvnqVb8tGPC4ZU
Colchicaceae,Colchicum,arenarium,,Colchicum arenarium Waldst. & Kit.,Waldst. & Kit.,,,Sag,"
Colchicum arenarium Waldst. & Kit.",,P00041718,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00041718,http://imager.mnhn.fr/imager3/w400/media/1441305704833Zdpe70wUJSlLCkEh,,"Gotthard, D.",PreservedSpecimen,MNHN,P,Hongrie,hu,,,,Gödöllö,,,1974-9-9,624,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00041718.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00041718.jpg,http://mediaphoto.mnhn.fr/media/1441305704833Zdpe70wUJSlLCkEh
Ranunculaceae,Thalictrum,minus,,Thalictrum minus L.,L.,,,Sag,"
Thalictrum minus L.",,P00036434,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00036434,http://imager.mnhn.fr/imager3/w400/media/1441342075637dofNgkmSYtJmvzGv,,"Sag, G.",PreservedSpecimen,MNHN,P,France,fr,05 Hautes-Alpes,Orcières,,Orcières,,,1977-7-15,1371,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00036434.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00036434.jpg,http://mediaphoto.mnhn.fr/media/1441342075637dofNgkmSYtJmvzGv
Cyperaceae,Scleria,parvula,,Scleria parvula Steud.,Steud.,,,Kern,"
Scleria parvula Steud.",,P00079776,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00079776,http://imager.mnhn.fr/imager3/w400/media/1441316344713VONqdKsUd0Uiyrl3,,"Mann, G.",PreservedSpecimen,MNHN,P,Inde,in,,,,Mont Khasia,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00079776.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00079776.jpg,http://mediaphoto.mnhn.fr/media/1441316344713VONqdKsUd0Uiyrl3
Fabaceae,Indigofera,hendecaphylla,,Indigofera hendecaphylla Jacq.,Jacq.,,,Du Puy & Labat,"
Indigofera hendecaphylla Jacq.",,P0007419,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0007419,http://imager.mnhn.fr/imager3/w400/media/14413340474875AxKBpkcPICQD84O,,"Jardin Botanique|Seyrig, A.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,Befandriana,-15.26667,48.53333,1942-6-20,5213,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P0007419.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P0007419.jpg,http://mediaphoto.mnhn.fr/media/14413340474875AxKBpkcPICQD84O
Moraceae,Ficus,politoria,,Ficus politoria Lam.,Lam.,,,Berg,"
Ficus xiphocuspis Baker",,P00109881,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00109881,http://imager.mnhn.fr/imager3/w400/media/14425928654262yBwXs2FzpllnCRk,,"Baron, R.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,,,,,1554,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00109881.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00109881.jpg,http://mediaphoto.mnhn.fr/media/14425928654262yBwXs2FzpllnCRk
Brassicaceae,Lepidium,englerianum,,Lepidium englerianum (Muschl.) Al-Shehbaz,(Muschl.) Al-Shehbaz,,,Al-Shehbaz,"
Senebiera integrifolia DC. | Coronopus integrifolius (DC.) Spreng.",,P00047933,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00047933,http://imager.mnhn.fr/imager3/w400/media/1442310202469gFZrIT04OsKxIAoa,,"Commerson, P.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00047933.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00047933.jpg,http://mediaphoto.mnhn.fr/media/1442310202469gFZrIT04OsKxIAoa
