family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationRemarks,identifiedBy,previousIdentifications,typeStatus,catalogNumber,occurrenceID,associatedMedia,occurrenceRemarks,recordedBy,basisOfRecord,institutionCode,collectionCode,country,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,fieldNumber,RDF_path,IMAGE_path,mediaLink
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000037,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000037,http://imager.mnhn.fr/imager3/w400/media/1441343365787tcLDABMm5l9MaivT,,"Wilms, F.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,promontor. bonae spei. Rondebosch bei Caputstaadt,,,1883-7-5,3312,Fichiers_RDF/P0000037.rdf,Fichiers_RDF/P0000037.jpg,http://mediaphoto.mnhn.fr/media/1441343365787tcLDABMm5l9MaivT
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000033,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000033,http://imager.mnhn.fr/imager3/w400/media/1441343342698woO3lIWshF7WReGr,,"Sieber, F.W.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,,,,1825,26,Fichiers_RDF/P0000033.rdf,Fichiers_RDF/P0000033.jpg,http://mediaphoto.mnhn.fr/media/1441343342698woO3lIWshF7WReGr
Fabaceae,Ononis,repens,maritima,Ononis repens L. var. maritima Gren. & Godr.,Gren. & Godr.,varietas,,Reveillard,"
Ononis repens L.",,P0000006,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000006,http://imager.mnhn.fr/imager3/w400/media/1441352253116qqqeexsXAopAqAGN,,"Labat, J.N.",PreservedSpecimen,MNHN,P,France,fr,40 Landes,Seignosse,Plage des Estagnots,,43.70278,-1.45,1993-7-10,2346,Fichiers_RDF/P0000006.rdf,Fichiers_RDF/P0000006.jpg,http://mediaphoto.mnhn.fr/media/1441352253116qqqeexsXAopAqAGN
Caryophyllaceae,Silene,vulgaris,maritima,Silene vulgaris (Moench) Garcke subsp. maritima (With.) A.Love & D.Love,(With.) A.Love & D.Love,subspecies,,Reveillard,"
Silene vulgaris (Moench) Garcke",,P0000004,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000004,http://imager.mnhn.fr/imager3/w400/media/1441406331110oNjKwpzbRgfbWBf7,,"Labat, J.N.",PreservedSpecimen,MNHN,P,France,fr,40 Landes,Seignosse,Plage des Estagnots,,43.70278,-1.45,1993-7-10,2344,Fichiers_RDF/P0000004.rdf,Fichiers_RDF/P0000004.jpg,http://mediaphoto.mnhn.fr/media/1441406331110oNjKwpzbRgfbWBf7
Apiaceae,Eryngium,maritimum,,Eryngium maritimum L.,L.,,,Labat,,,P0000002,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000002,http://imager.mnhn.fr/imager3/w400/media/14413549956275cIrjeqBq1gNbXN7,,"Labat, J.N.",PreservedSpecimen,MNHN,P,France,fr,40 Landes,Seignosse,Plage des Estagnots,,43.70278,-1.45,1993-7-10,2342,Fichiers_RDF/P0000002.rdf,Fichiers_RDF/P0000002.jpg,http://mediaphoto.mnhn.fr/media/14413549956275cIrjeqBq1gNbXN7
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000030,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000030,http://imager.mnhn.fr/imager3/w400/media/14413433656930Krha8bMHlIOkBFT,,"Schlechter, F.R.R.",PreservedSpecimen,MNHN,P,Afrique australe,za,cape,,,"Terra Capensis, Regio occidentalis, French Hock",,,1896-11-21,9362,Fichiers_RDF/P0000030.rdf,Fichiers_RDF/P0000030.jpg,http://mediaphoto.mnhn.fr/media/14413433656930Krha8bMHlIOkBFT
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Prenanthes glomerata Decne. | Senecio pubigerus L.",,P0000034,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000034,http://imager.mnhn.fr/imager3/w400/media/1441343365730J8FhJXedR0muoVga,,"Sieber, F.W.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,,,,1825,26,Fichiers_RDF/P0000034.rdf,Fichiers_RDF/P0000034.jpg,http://mediaphoto.mnhn.fr/media/1441343365730J8FhJXedR0muoVga
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000029,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000029,http://imager.mnhn.fr/imager3/w400/media/1441343365676zfRiRxh5q6pomIp8,,"Schlechter, F.R.R.",PreservedSpecimen,MNHN,P,Afrique australe,za,cape,,,"Terra Capensis, Regio occidentalis, French Hock",,,1896-11-21,9362,Fichiers_RDF/P0000029.rdf,Fichiers_RDF/P0000029.jpg,http://mediaphoto.mnhn.fr/media/1441343365676zfRiRxh5q6pomIp8
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000021,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000021,http://imager.mnhn.fr/imager3/w400/media/14413433655478YUsVamxRqr9j1w7,,"Ecklon, C.F.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,in montibus altitud. 4-5 prope flumen Palmietrivier ditionis Stellenbosch. Pr. b. sp.,,,,578,Fichiers_RDF/P0000021.rdf,Fichiers_RDF/P0000021.jpg,http://mediaphoto.mnhn.fr/media/14413433655478YUsVamxRqr9j1w7
Fabaceae,Astragalus,baionensis,,Astragalus baionensis Loisel.,Loisel.,,operation de numerisation 2010-2012,Reveillard,,,P0000001,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000001,http://imager.mnhn.fr/imager3/w400/media/1441348923906Ag1BvinTBvSly4mk,,"Labat, J.N.",PreservedSpecimen,MNHN,P,France,fr,40 Landes,Seignosse,Plage des Estagnots,,43.70278,-1.45,1993-7-10,2341,Fichiers_RDF/P0000001.rdf,Fichiers_RDF/P0000001.jpg,http://mediaphoto.mnhn.fr/media/1441348923906Ag1BvinTBvSly4mk
Euphorbiaceae,Euphorbia,paralias,,Euphorbia paralias L.,L.,,,Labat,"
Euphorbia paralias L.",,P0000003,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000003,http://imager.mnhn.fr/imager3/w400/media/1441437124934Kllh4zff6b7tbMkD,,"Labat, J.N.",PreservedSpecimen,MNHN,P,France,fr,40 Landes,Seignosse,Plage des Estagnots,Seignosse,43.70278,-1.45,1993-7-10,2343,Fichiers_RDF/P0000003.rdf,Fichiers_RDF/P0000003.jpg,http://mediaphoto.mnhn.fr/media/1441437124934Kllh4zff6b7tbMkD
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000017,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000017,http://imager.mnhn.fr/imager3/w400/media/1441343365470Vmqrhrct914eii3W,,"Drège, J.F.",PreservedSpecimen,MNHN,P,Afrique australe,za,cape,,,Duivelsverg,,,1826-7-23,,Fichiers_RDF/P0000017.rdf,Fichiers_RDF/P0000017.jpg,http://mediaphoto.mnhn.fr/media/1441343365470Vmqrhrct914eii3W
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000022,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000022,http://imager.mnhn.fr/imager3/w400/media/144134336556700KUvHckhUfxFGcr,,"Ecklon, C.F.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,Mont du Lion,,,,,Fichiers_RDF/P0000022.rdf,Fichiers_RDF/P0000022.jpg,http://mediaphoto.mnhn.fr/media/144134336556700KUvHckhUfxFGcr
Asteraceae,Helichrysum,stoechas,,Helichrysum stoechas (L.) Moench,(L.) Moench,,,Labat,"
Helichrysum stoechas (L.) Moench",,P0000008,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000008,http://imager.mnhn.fr/imager3/w400/media/1441357120744qk8igz11ctiSEX2m,,"Labat, J.N.",PreservedSpecimen,MNHN,P,France,fr,40 Landes,Seignosse,Plage des Estagnots,,43.70278,-1.45,1993-7-12,2348,Fichiers_RDF/P0000008.rdf,Fichiers_RDF/P0000008.jpg,http://mediaphoto.mnhn.fr/media/1441357120744qk8igz11ctiSEX2m
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000019,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000019,http://imager.mnhn.fr/imager3/w400/media/1441343365509e1uN8z0F9Uc0gktj,,"Drège, J.F.",PreservedSpecimen,MNHN,P,Afrique australe,za,cape,,,Piquetberg,,,1830-6-30,,Fichiers_RDF/P0000019.rdf,Fichiers_RDF/P0000019.jpg,http://mediaphoto.mnhn.fr/media/1441343365509e1uN8z0F9Uc0gktj
Rubiaceae,Galium,arenarium,,Galium arenarium Loisel.,Loisel.,,,Labat,"
Galium arenarium Loisel.",,P0000007,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000007,http://imager.mnhn.fr/imager3/w400/media/144138686952695Cz9mlAQnA8xtY1,,"Labat, J.N.",PreservedSpecimen,MNHN,P,France,fr,40 Landes,Seignosse,Plage des Estagnots,,43.70278,-1.45,1993-7-10,2347,Fichiers_RDF/P0000007.rdf,Fichiers_RDF/P0000007.jpg,http://mediaphoto.mnhn.fr/media/144138686952695Cz9mlAQnA8xtY1
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Prenanthes glomerata Decne. | Senecio pubigerus L.",,P0000031,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000031,http://imager.mnhn.fr/imager3/w400/media/14413433426800NmpcMRrw04JGQxJ,,"Sieber, F.W.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,Du Cap [Cap de Bonne Espérance],,,1825,26,Fichiers_RDF/P0000031.rdf,Fichiers_RDF/P0000031.jpg,http://mediaphoto.mnhn.fr/media/14413433426800NmpcMRrw04JGQxJ
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Prenanthes glomerata Decne. | Senecio pubigerus L.",,P0000032,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000032,http://imager.mnhn.fr/imager3/w400/media/1441343365712HqIq6nAw3S7WUe5E,,"Sieber, F.W.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,Cap de Bonne Espérance,,,1825,26,Fichiers_RDF/P0000032.rdf,Fichiers_RDF/P0000032.jpg,http://mediaphoto.mnhn.fr/media/1441343365712HqIq6nAw3S7WUe5E
